Waktu;Beras;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I ;Beras_Kualitas_Super_II ;Daging_Ayam;Daging_Ayam_Ras_Segar;Daging_Sapi;Daging_Sapi_Kualitas_1;Daging_Sapi_Kualitas_2 ;Telur_Ayam;"Telur_Ayam_Ras_Segar
 (kg)";Bawang_Merah;Bawang_Merah_Ukuran_Sedang;Bawang_Putih;Bawang_Putih_Ukuran_Sedang;Cabai_Merah;Cabai_Merah_Besar ;Cabai_Merah_Keriting  ;Cabai_Rawit;Cabai_Rawit_Hijau;Cabai_Rawit_Merah ;Minyak_Goreng;Minyak_Goreng_Curah ;Minyak_Goreng_Kemasan_Bermerk_1 ;Minyak_Goreng_Kemasan_Bermerk_2 ;Gula_Pasir;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal 
Jan 2018 (III);12000;11000;10500;12250;11750;13400;13050;35000;35000;112500;115000;110000;20800;20800;16300;16300;22100;22100;42250;43500;41000;41150;37800;44500;12100;10500;13000;12900;12900;13800;12000
Jan 2018 (IV);12300;11400;10900;12650;12150;13400;13050;34200;34200;112500;115000;110000;20400;20400;15600;15600;22500;22500;39150;42000;36300;35850;36000;35700;12150;10500;13000;13000;12900;13750;12000
Jan 2018 (V);12600;11500;11000;13000;12500;14050;13600;32700;32700;112500;115000;110000;20000;20000;15200;15200;22500;22500;40850;44000;37700;35900;36100;35700;12150;10500;13000;13000;12900;13750;12000
Feb 2018 (I);12600;11500;11000;13000;12500;14050;13700;33300;33300;112500;115000;110000;20000;20000;18600;18600;31000;31000;41750;45000;38500;37100;36100;38100;12150;10500;13000;13000;12900;13750;12000
Feb 2018 (II);12700;11500;11000;13000;12500;14150;14000;33500;33500;112500;115000;110000;21900;21900;20150;20150;36650;36650;43450;46900;40000;39650;34400;44900;12150;10500;13000;13000;12900;13750;12000
Feb 2018 (III);12700;11500;11000;13000;12500;14150;14000;32000;32000;112500;115000;110000;21900;21900;20500;20500;40000;40000;42250;44500;40000;39250;29000;49500;12150;10500;13000;13000;12900;13750;12000
Feb 2018 (IV);12450;11100;10600;12550;12000;14350;14000;31500;31500;112500;115000;110000;21000;21000;20500;20500;39200;39200;39650;42000;37300;40500;28500;52500;12150;10550;13000;13000;12900;13750;12000
Mar 2018 (I);12050;10550;10050;12050;11550;14400;13800;31500;31500;112500;115000;110000;20800;20800;20500;20500;38600;38600;38900;38800;39000;40250;25700;54800;12250;10750;13000;13000;12900;13750;12000
Mar 2018 (II);12000;10500;10000;12000;11500;14400;13500;32300;32300;112500;115000;110000;20600;20600;24100;24100;46800;46800;42750;43000;42500;38000;21200;54800;12150;10500;13000;13000;12900;13750;12000
Mar 2018 (III);12000;10500;10000;12000;11500;14400;13450;32100;32100;112500;115000;110000;20500;20500;24700;24700;54800;54800;43400;44800;42000;33400;23800;43000;12150;10500;13000;13000;12900;13750;12000
Mar 2018 (IV);11950;10500;10000;12000;11500;14400;13300;32250;32250;112500;115000;110000;20500;20500;24400;24400;49650;49650;41050;46400;35750;30250;24400;36150;12150;10500;13000;13000;12900;13750;12000
Apr 2018 (I);11950;10500;10000;12000;11500;14400;13300;32500;32500;112500;115000;110000;20500;20500;29400;29400;39700;39700;42250;48000;36500;30550;26700;34400;12150;10500;13000;13000;12900;13750;12050
Apr 2018 (II);11950;10500;10000;12000;11500;14400;13300;32200;32200;112500;115000;110000;22850;22850;31900;31900;35600;35600;42150;50300;34000;29050;25000;33100;12150;10500;13000;13000;12950;13750;12150
Apr 2018 (III);11950;10500;10000;12000;11500;14400;13300;32400;32400;112500;115000;110000;23500;23500;29400;29400;33500;33500;39900;50800;29000;25800;22600;29000;12150;10500;13000;13000;13000;13750;12250
Apr 2018 (IV);11950;10500;10000;12000;11500;14400;13300;32500;32500;112500;115000;110000;22900;22900;30200;30200;29500;29500;35000;47500;22500;21150;19300;23000;12150;10500;13000;13000;13000;13750;12250
Apr 2018 (V);11950;10500;10000;12000;11500;14400;13300;32500;32500;112500;115000;110000;23300;23300;29150;29150;25000;25000;33700;42400;25000;20000;17500;22500;12150;10500;13000;13000;13050;13850;12250
Mei 2018 (I);11950;10500;10000;12000;11500;14400;13300;32500;32500;112500;115000;110000;25150;25150;30150;30150;23650;23650;32950;40900;25000;21450;20400;22500;12150;10500;13000;13000;13000;13750;12250
Mei 2018 (II);11950;10500;10000;12000;11500;14400;13300;34300;34300;112500;115000;110000;25100;25100;29000;29000;24500;24500;30300;35500;25100;22050;21700;22400;12100;10350;13000;13000;13000;13750;12250
Mei 2018 (III);11950;10500;10000;12000;11500;14400;13300;34500;34500;112500;115000;110000;23100;23100;30000;30000;23900;23900;28900;33000;24800;21700;21600;21800;12100;10350;13000;13000;13000;13750;12250
Mei 2018 (IV);11950;10500;10000;12000;11500;14400;13300;34850;34850;112500;115000;110000;21850;21850;31000;31000;24150;24150;23500;27350;19650;18900;17500;20350;12150;10500;13000;13000;13000;13750;12250
Jun 2018 (I);11950;10500;10000;12000;11500;14400;13300;35000;35000;112500;115000;110000;21500;21500;30300;30300;23600;23600;23650;23500;23800;22450;19700;25200;12150;10500;13000;13000;13000;13750;12250
Jun 2018 (II);11950;10500;10000;12000;11500;14400;13300;39150;39150;113350;115850;110850;22350;22350;31000;31000;24500;24500;38750;44150;33350;28350;22500;34150;12150;10500;13000;13000;13000;13750;12250
Jun 2018 (III);11900;10500;10000;12000;11250;14400;13300;42400;42400;112500;115000;110000;23500;23500;30000;30000;25700;25700;31750;39000;24500;28400;28500;28250;12150;10500;13000;13000;13000;13750;12250
Jun 2018 (IV);11900;10500;10000;12000;11250;14400;13300;37250;37250;112500;115000;110000;23900;23900;25750;25750;25500;25500;20300;23150;17500;23750;18750;28750;12150;10400;13000;13000;12850;13750;11950
Jul 2018 (I);11850;10500;10000;12000;11000;14400;13300;34800;34800;112500;115000;110000;26500;26500;24500;24500;25000;25000;22500;23500;21500;34200;22900;45500;12100;10250;13000;13000;12750;13750;11750
Jul 2018 (II);11850;10500;10000;12000;11000;14400;13300;36500;36500;112500;115000;110000;27900;27900;25000;25000;26000;26000;31000;34000;28000;36000;28000;44000;12000;10000;13000;13000;12750;13750;11750
Jul 2018 (III);11850;10500;10000;12000;11000;14400;13300;37400;37400;112500;115000;110000;26200;26200;21100;21100;21400;21400;28800;30100;27500;38150;33000;43300;11850;9500;13000;13000;12650;13500;11750
Jul 2018 (IV);11850;10500;10000;12000;11000;14400;13300;43200;43200;112500;115000;110000;24400;24400;22500;22500;20000;20000;26300;28700;23900;33800;28000;39600;11850;9500;13000;13000;12650;13500;11750
Jul 2018 (V);11850;10500;10000;12000;11000;14400;13300;39100;39100;112500;115000;110000;22550;22550;23500;23500;20000;20000;24950;29000;20900;29350;24500;34200;11850;9500;13000;13000;12650;13500;11750
Agu 2018 (I);11450;10000;9500;11500;11000;13900;12800;35600;35600;112500;115000;110000;20950;20950;20000;20000;21600;21600;27350;30000;24700;25200;22900;27500;11850;9500;13000;13000;12650;13500;11750
Agu 2018 (II);11450;10000;9500;11500;11000;13900;12800;35500;35500;112500;115000;110000;21000;21000;21150;21150;24000;24000;25700;29000;22400;24550;22500;26650;11850;9500;13000;13000;12650;13500;11750
Agu 2018 (III);11450;10000;9500;11500;11000;13900;12800;34250;34250;112500;115000;110000;22000;22000;18500;18500;24000;24000;27800;32500;23150;21400;22750;20000;11850;9500;13000;13000;12650;13500;11750
Agu 2018 (IV);11450;10000;9500;11500;11000;13900;12800;34000;34000;112500;115000;110000;23100;23100;18000;18000;24700;24700;26050;32100;20000;20250;24400;16100;11850;9500;13000;13000;12650;13500;11750
Sep 2018 (I);11450;10000;9500;11500;11000;13900;12800;33000;33000;112500;115000;110000;22400;22400;18000;18000;25500;25500;20700;25200;16200;18850;22500;15200;11850;9600;13000;13000;12600;13500;11650
Sep 2018 (II);11450;10000;9500;11500;11000;13900;12800;33000;33000;112500;115000;110000;21500;21500;16500;16500;25500;25500;20950;23150;18750;20200;22500;17900;11900;9750;13000;13000;12500;13500;11500
Sep 2018 (III);11450;10000;9500;11500;11000;13900;12800;32400;32400;112500;115000;110000;20300;20300;16400;16400;25000;25000;19250;20500;18000;19200;22800;15600;11900;9750;13000;13000;12500;13500;11500
Sep 2018 (IV);11450;10000;9500;11500;11000;13900;12800;31000;31000;112500;115000;110000;19500;19500;15000;15000;24600;24600;21750;21400;22100;21100;24600;17600;11900;9650;13000;13000;12150;13000;11250
Okt 2018 (I);11450;10000;9500;11500;11000;13900;12800;31100;31100;112500;115000;110000;20900;20900;14000;14000;23900;23900;24450;24200;24700;24000;25300;22700;11850;9500;13000;13000;12050;13000;11100
Okt 2018 (II);11450;10000;9500;11500;11000;13900;12800;33000;33000;112500;115000;110000;21200;21200;14300;14300;24500;24500;29750;33000;26500;25750;26500;25000;11850;9500;13000;13000;12000;13000;11000
Okt 2018 (III);11350;10000;9500;11500;11000;13650;12550;33000;33000;112500;115000;110000;19700;19700;16300;16300;24500;24500;33900;38500;29300;27250;26000;28500;11850;9500;13000;13000;12000;13000;11000
Okt 2018 (IV);11350;10000;9500;11500;11000;13600;12500;33000;33000;112500;115000;110000;19500;19500;17500;17500;24500;24500;37500;41000;34000;28000;26500;29500;11850;9500;13000;13000;12000;13000;11000
Okt 2018 (V);11350;10000;9500;11500;11000;13500;12500;33000;33000;112500;115000;110000;20000;20000;17500;17500;24500;24500;34000;37500;30500;25300;24700;25900;11850;9500;13000;13000;12000;13000;11000
Nov 2018 (I);11350;10000;9500;11500;11000;13500;12500;32500;32500;112500;115000;110000;21500;21500;18500;18500;22800;22800;30000;33000;27000;25050;22600;27500;11850;9500;13000;13000;12000;13000;11000
Nov 2018 (II);11350;10000;9500;11500;11000;13500;12500;32500;32500;112500;115000;110000;21800;21800;21500;21500;21700;21700;26450;29600;23300;23600;21000;26200;11850;9500;13000;13000;12000;13000;11000
Nov 2018 (III);11350;10000;9500;11500;11000;13500;12500;32500;32500;112500;115000;110000;22750;22750;23500;23500;20750;20750;24400;26250;22500;19150;18000;20250;11850;9500;13000;13000;12000;13000;11000
Nov 2018 (IV);11350;10000;9500;11500;11000;13500;12500;32600;32600;112500;115000;110000;23200;23200;23800;23800;21200;21200;21750;24500;19000;18550;17700;19400;11650;9500;12500;13000;12000;13000;11000
Des 2018 (I);11350;10000;9500;11500;11000;13500;12500;33400;33400;112500;115000;110000;24200;24200;23000;23000;21100;21100;25650;28500;22800;22800;21800;23800;11650;9500;12500;13000;12000;13000;11000
Des 2018 (II);11350;10000;9500;11500;11000;13500;12500;33500;33500;112500;115000;110000;24900;24900;23000;23000;21500;21500;29300;35400;23200;23500;22400;24600;11650;9500;12500;13000;12000;13000;11000
